PLAYER_ID,PLAYER_NAME,GAME_DATE,MATCHUP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,NBA_FANTASY_PTS,SEASON
2544,LeBron James,2023-02-23T00:00:00,LAL vs. GSW,26.316666666666666,13,9,8,0,0,2,0.25,0.333,0.5,22,33.8,2022-23
2544,LeBron James,2023-02-15T00:00:00,LAL vs. NOP,29.216666666666665,21,6,6,0,1,4,0.5,0.0,0.7,14,36.2,2022-23
2544,LeBron James,2023-02-07T00:00:00,LAL vs. OKC,33.94166666666667,38,7,3,3,0,4,0.65,0.667,0.8,8,55.9,2022-23
2544,LeBron James,2023-02-04T00:00:00,LAL @ NOP,39.61666666666667,27,9,6,0,0,2,0.455,0.143,0.667,-5,44.8,2022-23
2544,LeBron James,2023-02-02T00:00:00,LAL @ IND,32.96666666666667,26,7,7,0,0,3,0.579,0.4,1.0,-4,41.9,2022-23
2544,LeBron James,2023-01-31T00:00:00,LAL @ NYK,42.93333333333333,28,10,11,1,0,5,0.44,0.25,0.571,22,54.5,2022-23
2544,LeBron James,2023-01-28T00:00:00,LAL @ BOS,44.20666666666666,41,9,8,0,0,2,0.5,0.5,0.833,1,61.8,2022-23
2544,LeBron James,2023-01-25T00:00:00,LAL vs. SAS,35.30833333333333,20,9,11,0,0,6,0.4,0.167,0.75,2,41.3,2022-23
2544,LeBron James,2023-01-24T00:00:00,LAL vs. LAC,32.598333333333336,46,8,7,2,1,0,0.552,0.643,1.0,-14,75.1,2022-23
2544,LeBron James,2023-01-22T00:00:00,LAL @ POR,35.946666666666665,37,11,4,0,2,4,0.583,0.286,0.7,17,58.2,2022-23
2544,LeBron James,2023-01-20T00:00:00,LAL vs. MEM,36.538333333333334,23,9,6,2,2,3,0.381,0.2,0.857,9,51.8,2022-23
2544,LeBron James,2023-01-18T00:00:00,LAL vs. SAC,36.5,32,8,9,1,1,1,0.44,0.222,0.889,-16,60.1,2022-23
2544,LeBron James,2023-01-16T00:00:00,LAL vs. HOU,35.85,48,8,9,0,0,0,0.615,0.5,0.917,19,71.1,2022-23
2544,LeBron James,2023-01-15T00:00:00,LAL vs. PHI,35.285,35,8,10,1,1,3,0.652,0.2,0.8,19,62.6,2022-23
2544,LeBron James,2023-01-12T00:00:00,LAL vs. DAL,46.75666666666667,24,16,9,2,0,3,0.321,0.0,0.6,-3,59.7,2022-23
2544,LeBron James,2023-01-07T00:00:00,LAL @ SAC,37.73166666666667,37,8,7,1,0,4,0.5,0.167,0.889,15,56.1,2022-23
2544,LeBron James,2023-01-06T00:00:00,LAL vs. ATL,32.78333333333333,25,7,10,0,0,5,0.526,0.2,0.667,12,43.4,2022-23
2544,LeBron James,2023-01-02T00:00:00,LAL @ CHA,39.56166666666667,43,11,6,1,0,3,0.615,0.0,0.733,9,65.2,2022-23
2544,LeBron James,2022-12-30T00:00:00,LAL @ ATL,39.64,47,10,9,0,1,5,0.667,0.667,0.778,12,70.5,2022-23
2544,LeBron James,2022-12-28T00:00:00,LAL @ MIA,33.486666666666665,27,9,6,0,0,6,0.556,0.4,1.0,-4,40.8,2022-23
2544,LeBron James,2022-12-27T00:00:00,LAL @ ORL,31.166666666666668,28,7,5,1,1,4,0.5,0.0,0.8,8,45.9,2022-23
2544,LeBron James,2022-12-25T00:00:00,LAL @ DAL,34.333333333333336,38,6,5,0,0,2,0.565,0.0,1.0,2,50.7,2022-23
